s_m,v_const_mps,v_trac_mps,R_m
2334.7188438142434,11.100545995814649,10.640694489937529,999999999.9999999
2335.908070948725,12.009225376595603,11.585497484737463,999999999.9999999
2337.097298083206,12.853826935451517,12.458857279442974,999999999.9999999
2338.2865252176875,13.646253684700795,13.274882200991476,999999999.9999999
2339.475752352169,14.395124604110977,14.043570421757833,999999999.9999999
2340.6649794866503,15.106918451774085,14.772313391325767,999999999.9999999
2341.8542066211317,14.7009681085829,14.7009681085829,19.511836536375164
2342.988409669848,15.367049839308855,14.977863504900078,35.831539424849794
2344.0450849982776,15.962612371200748,15.588302284752709,999999999.9999999
2345.07852640098,16.524330606778936,16.16303425751942,999999999.9999999
2346.1119678036825,17.06757189207214,16.718019760087206,999999999.9999999
2347.145409206385,17.59404781680358,17.255164241107245,999999999.9999999
2348.1788506090875,18.10522098370773,17.7760850942075,999999999.9999999
2349.21229201179,18.602352946813223,18.28216917013476,999999999.9999999
2350.2457334144924,18.53356830657672,18.53356830657672,999999999.9999999
2351.279174817195,17.86510032967401,17.86510032967401,999999999.9999999
2352.3126162198973,17.170627985140555,17.170627985140555,999999999.9999999
2353.3460576226,16.44685748156363,16.44685748156363,24.42148880405762
2354.4055458435587,17.006103728501742,16.67860013259932,29.50762411798669
2355.5174051086674,17.57386624871858,17.129222500387637,999999999.9999999
2356.6554846686226,18.136619966177225,17.706113981827702,999999999.9999999
2357.793564228578,18.682430052517972,18.2647934893106,999999999.9999999
2358.931643788533,19.212740604528936,18.80688411398473,999999999.9999999
2360.0697233484884,19.37532771894745,19.333781289404808,999999999.9999999
2361.2078029084437,18.67105725600532,18.67105725600532,999999999.9999999
2362.345882468399,17.939159230505886,17.939159230505886,999999999.9999999
2363.483962028354,17.176102256852694,17.176102256852694,999999999.9999999
2364.6220415883095,16.3775316692802,16.3775316692802,999999999.9999999
2365.7601211482647,15.537972789868423,15.537972789868423,999999999.9999999
2366.89820070822,14.650380652362145,14.650380652362145,999999999.9999999
2368.0362802681752,13.705426228305436,13.705426228305436,134.33538813027133
2369.160665653192,12.702998803222819,12.702998803222819,14.568632641245083
2370.1784477567135,13.3917203890562,12.990018319636153,999999999.9999999
2371.1045528152736,13.988972017368562,13.604915989029111,999999999.9999999
2372.0306578738337,14.561747876775565,14.193199152854756,999999999.9999999
2372.9567629323938,15.11283111633405,14.758050864414786,999999999.9999999
2373.882867990954,15.365688393292222,15.302066149403192,999999999.9999999
2374.808973049514,14.638994579581366,14.638994579581366,999999999.9999999
2375.735078108074,13.874290785559813,13.874290785559813,999999999.9999999
2376.661183166634,13.06490441233793,13.06490441233793,999999999.9999999
2377.5872882251942,12.201946967791011,12.201946967791011,999999999.9999999
2378.5133932837543,11.273122562362282,11.273122562362282,999999999.9999999
